Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate
Capricorn,Aries,CapricornAries,0.47
Aquarius,Aries,AquariusAries,0.78
Taurus,Pisces,TaurusPisces,0.85
Leo,Virgo,LeoVirgo,0.35
Aquarius,Leo,AquariusLeo,0.68
Leo,Taurus,LeoTaurus,0.73
Capricorn,Libra,CapricornLibra,0.55
Pisces,Capricorn,PiscesCapricorn,0.88
Scorpio,Cancer,ScorpioCancer,0.94
Taurus,Pisces,TaurusPisces,0.85
Pisces,Pisces,PiscesPisces,0.6
Taurus,Gemini,TaurusGemini,0.33
Aquarius,Gemini,AquariusGemini,0.85
Pisces,Aries,PiscesAries,0.67
Taurus,Cancer,TaurusCancer,0.97
Cancer,Scorpio,CancerScorpio,0.94
Leo,Cancer,LeoCancer,0.35
Capricorn,Pisces,CapricornPisces,0.88
Scorpio,Virgo,ScorpioVirgo,0.88
Capricorn,Virgo,CapricornVirgo,0.95
Libra,Taurus,LibraTaurus,0.65
Capricorn,Aries,CapricornAries,0.47
Libra,Taurus,LibraTaurus,0.65
Cancer,Scorpio,CancerScorpio,0.94
Cancer,Capricorn,CancerCapricorn,0.83
Aquarius,Aries,AquariusAries,0.78
Leo,Taurus,LeoTaurus,0.73
Gemini,Scorpio,GeminiScorpio,0.28
Taurus,Scorpio,TaurusScorpio,0.88
Taurus,Sagittarius,TaurusSagittarius,0.3
Capricorn,Scorpio,CapricornScorpio,0.95
Pisces,Scorpio,PiscesScorpio,0.97
Libra,Cancer,LibraCancer,0.43
Aquarius,Taurus,AquariusTaurus,0.58
Taurus,Gemini,TaurusGemini,0.33
Taurus,Aries,TaurusAries,0.38
Capricorn,Cancer,CapricornCancer,0.83
Capricorn,Aries,CapricornAries,0.47
Leo,Pisces,LeoPisces,0.38
Scorpio,Aries,ScorpioAries,0.5
Sagittarius,Aquarius,SagittariusAquarius,0.9
Gemini,Libra,GeminiLibra,0.93
Taurus,Pisces,TaurusPisces,0.85
Sagittarius,Virgo,SagittariusVirgo,0.48
Virgo,Sagittarius,VirgoSagittarius,0.48
Virgo,Sagittarius,VirgoSagittarius,0.48
Gemini,Leo,GeminiLeo,0.88
Pisces,Libra,PiscesLibra,0.88
Sagittarius,Virgo,SagittariusVirgo,0.48
Taurus,Pisces,TaurusPisces,0.85
Sagittarius,Aquarius,SagittariusAquarius,0.9
Taurus,Pisces,TaurusPisces,0.85
Aquarius,Pisces,AquariusPisces,0.45
Aquarius,Gemini,AquariusGemini,0.85
Cancer,Gemini,CancerGemini,0.65
Capricorn,Pisces,CapricornPisces,0.88
Aries,Scorpio,AriesScorpio,0.5
Libra,Taurus,LibraTaurus,0.65
Scorpio,Aquarius,ScorpioAquarius,0.73
Cancer,Sagittarius,CancerSagittarius,0.53
Aquarius,Gemini,AquariusGemini,0.85
Pisces,Cancer,PiscesCancer,0.98
Capricorn,Pisces,CapricornPisces,0.88
Pisces,Aquarius,PiscesAquarius,0.45
Libra,Scorpio,LibraScorpio,0.35
Taurus,Gemini,TaurusGemini,0.33
Aries,Scorpio,AriesScorpio,0.5
Libra,Libra,LibraLibra,0.75
Aquarius,Gemini,AquariusGemini,0.85
Leo,Scorpio,LeoScorpio,0.58
Taurus,Aquarius,TaurusAquarius,0.58
Virgo,Sagittarius,VirgoSagittarius,0.48
Gemini,Leo,GeminiLeo,0.88
Aquarius,Leo,AquariusLeo,0.68
Capricorn,Aquarius,CapricornAquarius,0.69
Taurus,Leo,TaurusLeo,0.73
Leo,Sagittarius,LeoSagittarius,0.93
Capricorn,Taurus,CapricornTaurus,0.98
Pisces,Taurus,PiscesTaurus,0.85
Aries,Virgo,AriesVirgo,0.63
Sagittarius,Taurus,SagittariusTaurus,0.3
Aquarius,Leo,AquariusLeo,0.68
Aquarius,Taurus,AquariusTaurus,0.58
Gemini,Capricorn,GeminiCapricorn,0.69
Leo,Aries,LeoAries,0.97
Scorpio,Cancer,ScorpioCancer,0.94
Leo,Leo,LeoLeo,0.45
Sagittarius,Virgo,SagittariusVirgo,0.48
Scorpio,Capricorn,ScorpioCapricorn,0.95
Scorpio,Pisces,ScorpioPisces,0.97
Gemini,Leo,GeminiLeo,0.88
Virgo,Pisces,VirgoPisces,0.88
Sagittarius,Capricorn,SagittariusCapricorn,0.6
Libra,Capricorn,LibraCapricorn,0.55
Capricorn,Leo,CapricornLeo,0.35
Scorpio,Scorpio,ScorpioScorpio,0.8
Leo,Aquarius,LeoAquarius,0.69
Pisces,Leo,PiscesLeo,0.38
Aries,Leo,AriesLeo,0.97
Cancer,Capricorn,CancerCapricorn,0.83
Libra,Leo,LibraLeo,0.97
Cancer,Virgo,CancerVirgo,0.9
Capricorn,Pisces,CapricornPisces,0.88
Gemini,Scorpio,GeminiScorpio,0.28
Pisces,Gemini,PiscesGemini,0.53
Cancer,Scorpio,CancerScorpio,0.94
Aquarius,Aquarius,AquariusAquarius,0.45
Virgo,Cancer,VirgoCancer,0.9
Aries,Aries,AriesAries,0.5
Scorpio,Gemini,ScorpioGemini,0.28
Cancer,Aquarius,CancerAquarius,0.27
Leo,Scorpio,LeoScorpio,0.58
Sagittarius,Sagittarius,SagittariusSagittarius,0.45
Aquarius,Capricorn,AquariusCapricorn,0.69
Libra,Capricorn,LibraCapricorn,0.55
Pisces,Taurus,PiscesTaurus,0.85
Cancer,Aquarius,CancerAquarius,0.27
Sagittarius,Leo,SagittariusLeo,0.93
Gemini,Pisces,GeminiPisces,0.53
