,Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate,Compatibility
3702,Pisces,Pisces,PiscesPisces,60%,Bad_fit
3703,Sagittarius,Scorpio,SagittariusScorpio,28%,Bad_fit
3704,Cancer,Aries,CancerAries,42%,Bad_fit
3705,Cancer,Pisces,CancerPisces,98%,Good_fit
3706,Libra,Scorpio,LibraScorpio,35%,Bad_fit
3709,Virgo,Leo,VirgoLeo,35%,Bad_fit
3710,Pisces,Virgo,PiscesVirgo,88%,Good_fit
3711,Leo,Taurus,LeoTaurus,73%,Good_fit
3712,Sagittarius,Pisces,SagittariusPisces,63%,Bad_fit
3713,Libra,Sagittarius,LibraSagittarius,73%,Good_fit
3714,Virgo,Gemini,VirgoGemini,68%,Bad_fit
3715,Gemini,Leo,GeminiLeo,88%,Good_fit
3716,Sagittarius,Libra,SagittariusLibra,73%,Good_fit
3717,Leo,Pisces,LeoPisces,38%,Bad_fit
3718,Cancer,Virgo,CancerVirgo,90%,Good_fit
3719,Libra,Virgo,LibraVirgo,68%,Bad_fit
3720,Taurus,Taurus,TaurusTaurus,58%,Bad_fit
3723,Leo,Taurus,LeoTaurus,73%,Good_fit
3726,Virgo,Cancer,VirgoCancer,90%,Good_fit
3727,Pisces,Capricorn,PiscesCapricorn,88%,Good_fit
3728,Pisces,Leo,PiscesLeo,38%,Bad_fit
3729,Aries,Gemini,AriesGemini,83%,Good_fit
3730,Sagittarius,Scorpio,SagittariusScorpio,28%,Bad_fit
3731,Sagittarius,Gemini,SagittariusGemini,60%,Bad_fit
3733,Leo,Scorpio,LeoScorpio,58%,Bad_fit
3734,Aquarius,Capricorn,AquariusCapricorn,69%,Bad_fit
3735,Virgo,Aries,VirgoAries,63%,Bad_fit
3736,Gemini,Sagittarius,GeminiSagittarius,60%,Bad_fit
3737,Libra,Sagittarius,LibraSagittarius,73%,Good_fit
3738,Libra,Capricorn,LibraCapricorn,55%,Bad_fit
3739,Capricorn,Aries,CapricornAries,47%,Bad_fit
3740,Aries,Virgo,AriesVirgo,63%,Bad_fit
3741,Capricorn,Leo,CapricornLeo,35%,Bad_fit
3742,Pisces,Cancer,PiscesCancer,98%,Good_fit
3743,Cancer,Capricorn,CancerCapricorn,83%,Good_fit
3744,Sagittarius,Scorpio,SagittariusScorpio,28%,Bad_fit
3745,Scorpio,Cancer,ScorpioCancer,94%,Good_fit
3746,Leo,Sagittarius,LeoSagittarius,93%,Good_fit
3747,Libra,Scorpio,LibraScorpio,35%,Bad_fit
3748,Cancer,Cancer,CancerCancer,75%,Good_fit
3749,Gemini,Gemini,GeminiGemini,60%,Bad_fit
3750,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
3751,Scorpio,Aries,ScorpioAries,50%,Bad_fit
3752,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
3754,Virgo,Gemini,VirgoGemini,68%,Bad_fit
3756,Taurus,Scorpio,TaurusScorpio,88%,Good_fit
3758,Pisces,Scorpio,PiscesScorpio,97%,Good_fit
3759,Libra,Taurus,LibraTaurus,65%,Bad_fit
3760,Leo,Taurus,LeoTaurus,73%,Good_fit
3761,Sagittarius,Capricorn,SagittariusCapricorn,60%,Bad_fit
3762,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
3763,Gemini,Sagittarius,GeminiSagittarius,60%,Bad_fit
3764,Gemini,Gemini,GeminiGemini,60%,Bad_fit
3765,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
3766,Libra,Libra,LibraLibra,75%,Good_fit
3768,Capricorn,Cancer,CapricornCancer,83%,Good_fit
3775,Aquarius,Capricorn,AquariusCapricorn,69%,Bad_fit
3776,Aries,Sagittarius,AriesSagittarius,93%,Good_fit
3777,Gemini,Scorpio,GeminiScorpio,28%,Bad_fit
3778,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
3780,Aries,Scorpio,AriesScorpio,50%,Bad_fit
3781,Capricorn,Taurus,CapricornTaurus,98%,Good_fit
3783,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
3784,Capricorn,Pisces,CapricornPisces,88%,Good_fit
3785,Pisces,Leo,PiscesLeo,38%,Bad_fit
3786,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
3787,Libra,Taurus,LibraTaurus,65%,Bad_fit
3788,Pisces,Libra,PiscesLibra,88%,Good_fit
3789,Cancer,Cancer,CancerCancer,75%,Good_fit
3790,Libra,Taurus,LibraTaurus,65%,Bad_fit
3791,Aquarius,Cancer,AquariusCancer,27%,Bad_fit
3792,Aries,Pisces,AriesPisces,67%,Bad_fit
3793,Pisces,Gemini,PiscesGemini,53%,Bad_fit
3794,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
3795,Gemini,Capricorn,GeminiCapricorn,69%,Bad_fit
3796,Leo,Pisces,LeoPisces,38%,Bad_fit
3797,Aquarius,Virgo,AquariusVirgo,30%,Bad_fit
3798,Leo,Gemini,LeoGemini,88%,Good_fit
3800,Capricorn,Taurus,CapricornTaurus,98%,Good_fit
3803,Scorpio,Capricorn,ScorpioCapricorn,95%,Good_fit
3804,Gemini,Virgo,GeminiVirgo,68%,Bad_fit
3805,Pisces,Taurus,PiscesTaurus,85%,Good_fit
3807,Cancer,Capricorn,CancerCapricorn,83%,Good_fit
3808,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
3809,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
3810,Aquarius,Gemini,AquariusGemini,85%,Good_fit
3812,Pisces,Leo,PiscesLeo,38%,Bad_fit
3816,Scorpio,Aries,ScorpioAries,50%,Bad_fit
3817,Capricorn,Cancer,CapricornCancer,83%,Good_fit
3818,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
3820,Sagittarius,Pisces,SagittariusPisces,63%,Bad_fit
3821,Cancer,Capricorn,CancerCapricorn,83%,Good_fit
3822,Cancer,Libra,CancerLibra,43%,Bad_fit
3823,Cancer,Taurus,CancerTaurus,97%,Good_fit
3824,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
3825,Libra,Leo,LibraLeo,97%,Good_fit
3826,Sagittarius,Aries,SagittariusAries,93%,Good_fit
3827,Taurus,Scorpio,TaurusScorpio,88%,Good_fit
3828,Scorpio,Cancer,ScorpioCancer,94%,Good_fit
3829,Cancer,Gemini,CancerGemini,65%,Bad_fit
3830,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
3831,Aquarius,Taurus,AquariusTaurus,58%,Bad_fit
3832,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
3833,Cancer,Leo,CancerLeo,35%,Bad_fit
3834,Aries,Aries,AriesAries,50%,Bad_fit
3836,Libra,Gemini,LibraGemini,93%,Good_fit
3837,Aquarius,Pisces,AquariusPisces,45%,Bad_fit
3838,Taurus,Aries,TaurusAries,38%,Bad_fit
3839,Libra,Aquarius,LibraAquarius,90%,Good_fit
3840,Virgo,Libra,VirgoLibra,69%,Bad_fit
3841,Virgo,Scorpio,VirgoScorpio,88%,Good_fit
3842,Cancer,Leo,CancerLeo,35%,Bad_fit
3843,Cancer,Virgo,CancerVirgo,90%,Good_fit
3844,Cancer,Pisces,CancerPisces,98%,Good_fit
3845,Virgo,Aries,VirgoAries,63%,Bad_fit
3846,Gemini,Libra,GeminiLibra,93%,Good_fit
3847,Taurus,Pisces,TaurusPisces,85%,Good_fit
3848,Virgo,Scorpio,VirgoScorpio,88%,Good_fit
3849,Capricorn,Pisces,CapricornPisces,88%,Good_fit
3850,Sagittarius,Virgo,SagittariusVirgo,48%,Bad_fit
3851,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
3852,Taurus,Sagittarius,TaurusSagittarius,30%,Bad_fit
3853,Gemini,Libra,GeminiLibra,93%,Good_fit
3854,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
3855,Virgo,Taurus,VirgoTaurus,90%,Good_fit
3856,Libra,Libra,LibraLibra,75%,Good_fit
3857,Aries,Aquarius,AriesAquarius,78%,Good_fit
3858,Pisces,Pisces,PiscesPisces,60%,Bad_fit
3859,Capricorn,Aries,CapricornAries,47%,Bad_fit
3860,Gemini,Libra,GeminiLibra,93%,Good_fit
3861,Aries,Capricorn,AriesCapricorn,47%,Bad_fit
3862,Virgo,Scorpio,VirgoScorpio,88%,Good_fit
3863,Sagittarius,Libra,SagittariusLibra,73%,Good_fit
3864,Libra,Capricorn,LibraCapricorn,55%,Bad_fit
3865,Virgo,Sagittarius,VirgoSagittarius,48%,Bad_fit
3866,Aries,Aries,AriesAries,50%,Bad_fit
3867,Leo,Cancer,LeoCancer,35%,Bad_fit
3868,Sagittarius,Cancer,SagittariusCancer,53%,Bad_fit
3869,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
3870,Aquarius,Aries,AquariusAries,78%,Good_fit
3871,Leo,Taurus,LeoTaurus,73%,Good_fit
3872,Taurus,Gemini,TaurusGemini,33%,Bad_fit
3873,Pisces,Aries,PiscesAries,67%,Bad_fit
3874,Pisces,Virgo,PiscesVirgo,88%,Good_fit
3875,Sagittarius,Leo,SagittariusLeo,93%,Good_fit
3878,Sagittarius,Capricorn,SagittariusCapricorn,60%,Bad_fit
3880,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
3881,Leo,Taurus,LeoTaurus,73%,Good_fit
3882,Gemini,Cancer,GeminiCancer,65%,Bad_fit
3884,Taurus,Virgo,TaurusVirgo,90%,Good_fit
3885,Libra,Aries,LibraAries,85%,Good_fit
3886,Virgo,Pisces,VirgoPisces,88%,Good_fit
3887,Libra,Scorpio,LibraScorpio,35%,Bad_fit
3888,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
3889,Scorpio,Gemini,ScorpioGemini,28%,Bad_fit
3890,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
3891,Virgo,Libra,VirgoLibra,69%,Bad_fit
3892,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
3893,Taurus,Scorpio,TaurusScorpio,88%,Good_fit
3894,Leo,Leo,LeoLeo,45%,Bad_fit
3895,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
3897,Aquarius,Virgo,AquariusVirgo,30%,Bad_fit
3898,Gemini,Sagittarius,GeminiSagittarius,60%,Bad_fit
3900,Leo,Libra,LeoLibra,97%,Good_fit
3901,Pisces,Virgo,PiscesVirgo,88%,Good_fit
3902,Sagittarius,Sagittarius,SagittariusSagittarius,45%,Bad_fit
3903,Capricorn,Scorpio,CapricornScorpio,95%,Good_fit
3904,Virgo,Taurus,VirgoTaurus,90%,Good_fit
3905,Virgo,Scorpio,VirgoScorpio,88%,Good_fit
3906,Capricorn,Sagittarius,CapricornSagittarius,60%,Bad_fit
3907,Capricorn,Pisces,CapricornPisces,88%,Good_fit
3908,Cancer,Aries,CancerAries,42%,Bad_fit
3909,Aries,Leo,AriesLeo,97%,Good_fit
3910,Gemini,Scorpio,GeminiScorpio,28%,Bad_fit
3912,Sagittarius,Libra,SagittariusLibra,73%,Good_fit
3913,Pisces,Libra,PiscesLibra,88%,Good_fit
3914,Leo,Cancer,LeoCancer,35%,Bad_fit
3915,Cancer,Pisces,CancerPisces,98%,Good_fit
3916,Libra,Aries,LibraAries,85%,Good_fit
3918,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
3919,Scorpio,Aquarius,ScorpioAquarius,73%,Good_fit
3921,Virgo,Aries,VirgoAries,63%,Bad_fit
3922,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
3924,Aries,Aries,AriesAries,50%,Bad_fit
3925,Gemini,Libra,GeminiLibra,93%,Good_fit
3926,Aries,Aquarius,AriesAquarius,78%,Good_fit
3927,Aries,Sagittarius,AriesSagittarius,93%,Good_fit
3928,Taurus,Libra,TaurusLibra,65%,Bad_fit
3929,Leo,Aries,LeoAries,97%,Good_fit
3930,Aries,Taurus,AriesTaurus,38%,Bad_fit
3931,Aries,Aquarius,AriesAquarius,78%,Good_fit
3932,Virgo,Capricorn,VirgoCapricorn,95%,Good_fit
3933,Taurus,Gemini,TaurusGemini,33%,Bad_fit
3934,Gemini,Gemini,GeminiGemini,60%,Bad_fit
3935,Libra,Sagittarius,LibraSagittarius,73%,Good_fit
3936,Aries,Aries,AriesAries,50%,Bad_fit
3937,Capricorn,Virgo,CapricornVirgo,95%,Good_fit
3938,Gemini,Sagittarius,GeminiSagittarius,60%,Bad_fit
3939,Scorpio,Pisces,ScorpioPisces,97%,Good_fit
3940,Taurus,Virgo,TaurusVirgo,90%,Good_fit
3942,Taurus,Gemini,TaurusGemini,33%,Bad_fit
3943,Libra,Scorpio,LibraScorpio,35%,Bad_fit
3944,Leo,Taurus,LeoTaurus,73%,Good_fit
3945,Gemini,Taurus,GeminiTaurus,33%,Bad_fit
3946,Scorpio,Pisces,ScorpioPisces,97%,Good_fit
3947,Virgo,Capricorn,VirgoCapricorn,95%,Good_fit
3948,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
3949,Aquarius,Capricorn,AquariusCapricorn,69%,Bad_fit
3950,Aries,Aquarius,AriesAquarius,78%,Good_fit
3951,Capricorn,Libra,CapricornLibra,55%,Bad_fit
3953,Scorpio,Pisces,ScorpioPisces,97%,Good_fit
3955,Leo,Leo,LeoLeo,45%,Bad_fit
3956,Cancer,Aries,CancerAries,42%,Bad_fit
3957,Sagittarius,Gemini,SagittariusGemini,60%,Bad_fit
3958,Sagittarius,Aquarius,SagittariusAquarius,90%,Good_fit
3959,Virgo,Cancer,VirgoCancer,90%,Good_fit
3962,Virgo,Capricorn,VirgoCapricorn,95%,Good_fit
3963,Aquarius,Sagittarius,AquariusSagittarius,90%,Good_fit
3964,Virgo,Leo,VirgoLeo,35%,Bad_fit
3965,Pisces,Gemini,PiscesGemini,53%,Bad_fit
3966,Capricorn,Virgo,CapricornVirgo,95%,Good_fit
3967,Taurus,Sagittarius,TaurusSagittarius,30%,Bad_fit
3968,Virgo,Capricorn,VirgoCapricorn,95%,Good_fit
3972,Libra,Pisces,LibraPisces,88%,Good_fit
3973,Leo,Libra,LeoLibra,97%,Good_fit
3974,Scorpio,Gemini,ScorpioGemini,28%,Bad_fit
3975,Virgo,Aries,VirgoAries,63%,Bad_fit
3976,Aries,Libra,AriesLibra,85%,Good_fit
3977,Sagittarius,Libra,SagittariusLibra,73%,Good_fit
3978,Scorpio,Gemini,ScorpioGemini,28%,Bad_fit
3979,Cancer,Pisces,CancerPisces,98%,Good_fit
3980,Libra,Virgo,LibraVirgo,68%,Bad_fit
3981,Aquarius,Leo,AquariusLeo,68%,Bad_fit
3982,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
3983,Libra,Pisces,LibraPisces,88%,Good_fit
3984,Taurus,Leo,TaurusLeo,73%,Good_fit
3986,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
3987,Sagittarius,Capricorn,SagittariusCapricorn,60%,Bad_fit
3988,Virgo,Libra,VirgoLibra,69%,Bad_fit
3989,Pisces,Pisces,PiscesPisces,60%,Bad_fit
3990,Sagittarius,Taurus,SagittariusTaurus,30%,Bad_fit
3991,Libra,Taurus,LibraTaurus,65%,Bad_fit
3992,Pisces,Cancer,PiscesCancer,98%,Good_fit
3993,Taurus,Cancer,TaurusCancer,97%,Good_fit
3994,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
3996,Taurus,Sagittarius,TaurusSagittarius,30%,Bad_fit
3997,Virgo,Scorpio,VirgoScorpio,88%,Good_fit
3998,Scorpio,Taurus,ScorpioTaurus,88%,Good_fit
3999,Capricorn,Capricorn,CapricornCapricorn,75%,Good_fit
4000,Leo,Virgo,LeoVirgo,35%,Bad_fit
4001,Gemini,Sagittarius,GeminiSagittarius,60%,Bad_fit
4002,Taurus,Aquarius,TaurusAquarius,58%,Bad_fit
4003,Sagittarius,Libra,SagittariusLibra,73%,Good_fit
4005,Aries,Leo,AriesLeo,97%,Good_fit
4007,Scorpio,Taurus,ScorpioTaurus,88%,Good_fit
4008,Virgo,Cancer,VirgoCancer,90%,Good_fit
4009,Capricorn,Virgo,CapricornVirgo,95%,Good_fit
4010,Taurus,Cancer,TaurusCancer,97%,Good_fit
4011,Scorpio,Aquarius,ScorpioAquarius,73%,Good_fit
4013,Virgo,Leo,VirgoLeo,35%,Bad_fit
4014,Gemini,Virgo,GeminiVirgo,68%,Bad_fit
4015,Sagittarius,Libra,SagittariusLibra,73%,Good_fit
4016,Pisces,Aries,PiscesAries,67%,Bad_fit
4017,Aquarius,Cancer,AquariusCancer,27%,Bad_fit
4018,Gemini,Leo,GeminiLeo,88%,Good_fit
4019,Aries,Gemini,AriesGemini,83%,Good_fit
4020,Cancer,Scorpio,CancerScorpio,94%,Good_fit
4023,Taurus,Virgo,TaurusVirgo,90%,Good_fit
4024,Taurus,Aries,TaurusAries,38%,Bad_fit
4025,Aries,Libra,AriesLibra,85%,Good_fit
4026,Leo,Scorpio,LeoScorpio,58%,Bad_fit
4027,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
4028,Leo,Aquarius,LeoAquarius,69%,Bad_fit
4029,Scorpio,Aquarius,ScorpioAquarius,73%,Good_fit
4030,Aries,Aries,AriesAries,50%,Bad_fit
4031,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
4032,Taurus,Aries,TaurusAries,38%,Bad_fit
4033,Libra,Aquarius,LibraAquarius,90%,Good_fit
4034,Leo,Aries,LeoAries,97%,Good_fit
4035,Scorpio,Aquarius,ScorpioAquarius,73%,Good_fit
4036,Scorpio,Gemini,ScorpioGemini,28%,Bad_fit
4037,Capricorn,Pisces,CapricornPisces,88%,Good_fit
4039,Leo,Sagittarius,LeoSagittarius,93%,Good_fit
4040,Gemini,Gemini,GeminiGemini,60%,Bad_fit
4042,Aries,Aquarius,AriesAquarius,78%,Good_fit
4043,Scorpio,Aquarius,ScorpioAquarius,73%,Good_fit
4045,Cancer,Aquarius,CancerAquarius,27%,Bad_fit
4046,Cancer,Libra,CancerLibra,43%,Bad_fit
4047,Virgo,Leo,VirgoLeo,35%,Bad_fit
4048,Pisces,Aries,PiscesAries,67%,Bad_fit
4049,Sagittarius,Capricorn,SagittariusCapricorn,60%,Bad_fit
4050,Capricorn,Virgo,CapricornVirgo,95%,Good_fit
4051,Aquarius,Virgo,AquariusVirgo,30%,Bad_fit
4052,Virgo,Libra,VirgoLibra,69%,Bad_fit
4054,Libra,Aries,LibraAries,85%,Good_fit
4055,Libra,Aquarius,LibraAquarius,90%,Good_fit
4058,Pisces,Libra,PiscesLibra,88%,Good_fit
4061,Pisces,Scorpio,PiscesScorpio,97%,Good_fit
4062,Virgo,Leo,VirgoLeo,35%,Bad_fit
4063,Gemini,Cancer,GeminiCancer,65%,Bad_fit
4064,Sagittarius,Capricorn,SagittariusCapricorn,60%,Bad_fit
4065,Cancer,Virgo,CancerVirgo,90%,Good_fit
4066,Cancer,Taurus,CancerTaurus,97%,Good_fit
4067,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
4069,Capricorn,Pisces,CapricornPisces,88%,Good_fit
4070,Gemini,Gemini,GeminiGemini,60%,Bad_fit
4071,Leo,Virgo,LeoVirgo,35%,Bad_fit
4072,Cancer,Taurus,CancerTaurus,97%,Good_fit
4073,Cancer,Libra,CancerLibra,43%,Bad_fit
4074,Aries,Aries,AriesAries,50%,Bad_fit
4076,Aquarius,Cancer,AquariusCancer,27%,Bad_fit
4078,Gemini,Aries,GeminiAries,83%,Good_fit
4079,Libra,Leo,LibraLeo,97%,Good_fit
4080,Aquarius,Taurus,AquariusTaurus,58%,Bad_fit
4082,Cancer,Aries,CancerAries,42%,Bad_fit
4083,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
4084,Scorpio,Gemini,ScorpioGemini,28%,Bad_fit
4085,Capricorn,Scorpio,CapricornScorpio,95%,Good_fit
4087,Scorpio,Aries,ScorpioAries,50%,Bad_fit
4088,Sagittarius,Pisces,SagittariusPisces,63%,Bad_fit
4089,Aquarius,Sagittarius,AquariusSagittarius,90%,Good_fit
4090,Taurus,Leo,TaurusLeo,73%,Good_fit
4092,Scorpio,Aries,ScorpioAries,50%,Bad_fit
4093,Libra,Leo,LibraLeo,97%,Good_fit
4095,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
4096,Scorpio,Sagittarius,ScorpioSagittarius,28%,Bad_fit
4097,Scorpio,Pisces,ScorpioPisces,97%,Good_fit
4098,Leo,Pisces,LeoPisces,38%,Bad_fit
4099,Taurus,Pisces,TaurusPisces,85%,Good_fit
4100,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
4101,Pisces,Taurus,PiscesTaurus,85%,Good_fit
4102,Gemini,Taurus,GeminiTaurus,33%,Bad_fit
4103,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
4104,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
4105,Scorpio,Capricorn,ScorpioCapricorn,95%,Good_fit
4106,Scorpio,Taurus,ScorpioTaurus,88%,Good_fit
4107,Scorpio,Pisces,ScorpioPisces,97%,Good_fit
4108,Leo,Sagittarius,LeoSagittarius,93%,Good_fit
4109,Virgo,Gemini,VirgoGemini,68%,Bad_fit
4110,Taurus,Leo,TaurusLeo,73%,Good_fit
4111,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
4113,Aquarius,Aries,AquariusAries,78%,Good_fit
4114,Aries,Scorpio,AriesScorpio,50%,Bad_fit
4115,Leo,Aquarius,LeoAquarius,69%,Bad_fit
4117,Aquarius,Gemini,AquariusGemini,85%,Good_fit
4118,Capricorn,Aries,CapricornAries,47%,Bad_fit
4119,Sagittarius,Cancer,SagittariusCancer,53%,Bad_fit
4120,Aquarius,Leo,AquariusLeo,68%,Bad_fit
4121,Pisces,Aquarius,PiscesAquarius,45%,Bad_fit
4122,Capricorn,Virgo,CapricornVirgo,95%,Good_fit
4123,Gemini,Cancer,GeminiCancer,65%,Bad_fit
4124,Gemini,Taurus,GeminiTaurus,33%,Bad_fit
4125,Capricorn,Leo,CapricornLeo,35%,Bad_fit
4126,Libra,Cancer,LibraCancer,43%,Bad_fit
4127,Capricorn,Leo,CapricornLeo,35%,Bad_fit
4128,Taurus,Pisces,TaurusPisces,85%,Good_fit
4129,Aquarius,Leo,AquariusLeo,68%,Bad_fit
4130,Aries,Cancer,AriesCancer,42%,Bad_fit
4131,Sagittarius,Sagittarius,SagittariusSagittarius,45%,Bad_fit
4132,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
4133,Leo,Virgo,LeoVirgo,35%,Bad_fit
4134,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
4135,Sagittarius,Virgo,SagittariusVirgo,48%,Bad_fit
4136,Leo,Pisces,LeoPisces,38%,Bad_fit
4137,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
4138,Cancer,Virgo,CancerVirgo,90%,Good_fit
4139,Aries,Taurus,AriesTaurus,38%,Bad_fit
4140,Taurus,Leo,TaurusLeo,73%,Good_fit
4141,Virgo,Cancer,VirgoCancer,90%,Good_fit
4142,Gemini,Aries,GeminiAries,83%,Good_fit
4143,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
4144,Libra,Leo,LibraLeo,97%,Good_fit
4145,Gemini,Aries,GeminiAries,83%,Good_fit
4146,Cancer,Cancer,CancerCancer,75%,Good_fit
4147,Gemini,Aquarius,GeminiAquarius,85%,Good_fit
4148,Cancer,Virgo,CancerVirgo,90%,Good_fit
4150,Cancer,Aries,CancerAries,42%,Bad_fit
4151,Scorpio,Capricorn,ScorpioCapricorn,95%,Good_fit
4152,Cancer,Libra,CancerLibra,43%,Bad_fit
4154,Taurus,Sagittarius,TaurusSagittarius,30%,Bad_fit
4155,Gemini,Aries,GeminiAries,83%,Good_fit
4156,Taurus,Leo,TaurusLeo,73%,Good_fit
4157,Taurus,Taurus,TaurusTaurus,58%,Bad_fit
4158,Sagittarius,Virgo,SagittariusVirgo,48%,Bad_fit
4159,Capricorn,Cancer,CapricornCancer,83%,Good_fit
4160,Aquarius,Aries,AquariusAries,78%,Good_fit
4161,Sagittarius,Aquarius,SagittariusAquarius,90%,Good_fit
4162,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
4163,Capricorn,Cancer,CapricornCancer,83%,Good_fit
4164,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
4165,Pisces,Scorpio,PiscesScorpio,97%,Good_fit
4166,Capricorn,Leo,CapricornLeo,35%,Bad_fit
4167,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
4168,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
4169,Sagittarius,Aquarius,SagittariusAquarius,90%,Good_fit
4170,Libra,Virgo,LibraVirgo,68%,Bad_fit
4171,Aries,Virgo,AriesVirgo,63%,Bad_fit
4172,Taurus,Capricorn,TaurusCapricorn,98%,Good_fit
4174,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
4175,Cancer,Aries,CancerAries,42%,Bad_fit
4176,Sagittarius,Scorpio,SagittariusScorpio,28%,Bad_fit
4177,Aries,Aries,AriesAries,50%,Bad_fit
4178,Leo,Libra,LeoLibra,97%,Good_fit
4180,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
4181,Libra,Pisces,LibraPisces,88%,Good_fit
4182,Gemini,Gemini,GeminiGemini,60%,Bad_fit
4183,Capricorn,Taurus,CapricornTaurus,98%,Good_fit
4184,Virgo,Libra,VirgoLibra,69%,Bad_fit
4185,Scorpio,Pisces,ScorpioPisces,97%,Good_fit
4186,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
4187,Sagittarius,Aries,SagittariusAries,93%,Good_fit
4188,Pisces,Scorpio,PiscesScorpio,97%,Good_fit
4189,Scorpio,Gemini,ScorpioGemini,28%,Bad_fit
4190,Virgo,Cancer,VirgoCancer,90%,Good_fit
4191,Libra,Libra,LibraLibra,75%,Good_fit
4192,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
4193,Aries,Taurus,AriesTaurus,38%,Bad_fit
4194,Leo,Pisces,LeoPisces,38%,Bad_fit
4195,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
4196,Aquarius,Taurus,AquariusTaurus,58%,Bad_fit
4197,Taurus,Leo,TaurusLeo,73%,Good_fit
4198,Cancer,Leo,CancerLeo,35%,Bad_fit
4199,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
4200,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
4201,Gemini,Libra,GeminiLibra,93%,Good_fit
4203,Leo,Capricorn,LeoCapricorn,35%,Bad_fit
4204,Libra,Aries,LibraAries,85%,Good_fit
4205,Taurus,Gemini,TaurusGemini,33%,Bad_fit
4206,Libra,Taurus,LibraTaurus,65%,Bad_fit
4207,Sagittarius,Aries,SagittariusAries,93%,Good_fit
4208,Pisces,Pisces,PiscesPisces,60%,Bad_fit
4209,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
4210,Sagittarius,Scorpio,SagittariusScorpio,28%,Bad_fit
4211,Gemini,Scorpio,GeminiScorpio,28%,Bad_fit
4212,Taurus,Taurus,TaurusTaurus,58%,Bad_fit
4213,Virgo,Taurus,VirgoTaurus,90%,Good_fit
4214,Sagittarius,Libra,SagittariusLibra,73%,Good_fit
4215,Capricorn,Virgo,CapricornVirgo,95%,Good_fit
4216,Virgo,Taurus,VirgoTaurus,90%,Good_fit
4217,Leo,Cancer,LeoCancer,35%,Bad_fit
4218,Cancer,Gemini,CancerGemini,65%,Bad_fit
4219,Aquarius,Virgo,AquariusVirgo,30%,Bad_fit
4220,Taurus,Leo,TaurusLeo,73%,Good_fit
4221,Virgo,Aries,VirgoAries,63%,Bad_fit
4222,Sagittarius,Aquarius,SagittariusAquarius,90%,Good_fit
4223,Cancer,Libra,CancerLibra,43%,Bad_fit
